Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
I’m Glad I stayed because I’ve always wanted to but in no hurry to come back unfortunately.,Resort Twin Room - Inclusive of Return Ferry Transfers,agosto de 2025,Fecha del comentario: 7 de septiembre de 2025,Scott,"Breakfast was okay, but I didn’t appreciate having the curlews walking around in the restaurant.",I think the resort is a little rundown and needs updating and for the price I just think it was a bit overpriced.,1 noche ·,"6,0",Australia,En pareja
Nice relaxing retreat,Habitación Resort con 2 camas individuales,septiembre de 2025,Fecha del comentario: 7 de septiembre de 2025,Miryana,The breakfast was good and an added bonus. It was a nice small island perfect if you would like to relax and de-stress,"More options for dinner would be great. I also felt that the staff were not so accommodating for example I wanted to extend my checkout for an hour and that could not do this. Also, it would have been nice that once my room was ready that my bags were taken to the room rather than me picking them up from reception and then taking them to the room myself.",1 noche ·,"7,0",Australia,Persona que viaja sola
Muy bien,Habitación Superior con vistas a la piscina - Cama extragrande,septiembre de 2025,Fecha del comentario: 2 de septiembre de 2025,Nadine,Our booking was value for money and the resort had some enjoyable included water activities. We will visit again.,,3 noches ·,"8,0",Australia,En pareja
"Beautiful location, but could do with an upgrade.",Deluxe Serenity Twin Room,agosto de 2025,Fecha del comentario: 31 de agosto de 2025,Morghan,Location is stunning,"Facilities could do with an upgrade especially rooms, have more food options, staff could also use customer service as a primary instead of talking about getting drunk the night before between eachother (happened quite a few times)",4 noches ·,"6,0",Australia,En familia
A secret haven - will be returning soon!!!,Habitación Doble Resort con cama grande,agosto de 2025,Fecha del comentario: 30 de agosto de 2025,Kimberley,"Unbeatable location and marine life, very laid back, friendly staff","The food - way too expensive and no healthy, snack or convenient snack options",2 noches ·,"8,0",Australia,Persona que viaja sola
Fantástico,Habitación Resort con 2 camas individuales,agosto de 2025,Fecha del comentario: 29 de agosto de 2025,Norling,"I loved everything was an easy walk
I tht the Live Reef was an outstanding feature
Breakfast was excellent",I tht the purchased food was 1. A very limited selection & too highly priced,2 noches ·,"9,0",Australia,Persona que viaja sola
Island vibes,Habitación Superior con vistas al mar - 2 camas,agosto de 2025,Fecha del comentario: 29 de agosto de 2025,Daniell,"From the moment we arrived, the staff made our stay special. Everyone was incredibly friendly, helpful, and genuinely nice to deal with, making the experience feel warm and welcoming.

The resort itself was beautifully maintained gardens looked pristine, and every area felt clean and cared for. The pool area was stunning, a perfect spot to relax and soak up the island vibes.

Overall, the combination of attentive staff, immaculate grounds, and the gorgeous pool made our stay very enjoyable.","Some parts of the resort feel dated and could use a refresh. The bed and pillows were uncomfortable, which made it hard to fully relax. Dining options were limited, with only two restaurants available. For a resort of this scale, it would be much better to have:
	•	A relaxed pub-style restaurant downstairs for casual meals and comfort food.
	•	An upmarket, modern Australian restaurant upstairs with elegant, creative dishes, more seafood, and a classy island vibe.

Being on an island, seafood should really shine on the menu.

A small touch that would elevate the guest experience would be QR codes to order cocktails by the pool, creating more convenience and that holiday feeling of being looked after without having to leave your lounge chair.",3 noches ·,"7,0",Australia,En familia
Amazing location but resort needs refurbishing in many places,Habitación Superior con vistas al mar - 2 camas,agosto de 2025,Fecha del comentario: 28 de agosto de 2025,Pennington,The location is fantastic! The sea wild life around the resort is a pleasant bonus.,"The place is in need of refurbishing, it is a bit run down. There are signs of construction decay in many spots. 
The main restaurant was closed for dinner on Saturday night!!!",2 noches ·,"6,0",Australia,En familia
It was worth it,Habitación Doble Resort con cama grande,agosto de 2025,Fecha del comentario: 27 de agosto de 2025,Lucy,"The staff, oh my God. All the staff were beautiful and kind and amazing. I’d give 💯💯 .",The limited number of restaurants and menus but it’s was beautiful 😍,3 noches ·,"7,0",Australia,En pareja
Go!,Habitación Superior con vistas a la piscina - Cama extragrande,agosto de 2025,Fecha del comentario: 27 de agosto de 2025,Aaron,"Location and staff amazing. Room was looking a little tired but very comfy. 
 Catamarans are still available. The living reef is excellent.
Infinity restaurant is fabulous with loads of flavours. Worth upgrading the booking to include $200 food and bev.","Leaving, hahahah. 
Silicone in bathroom needed a revamp. 
Would be great if there was an added option for transfers when booking. 
A little more variety on the restaurants menu, especially vegetarian meals, would be very good.",3 noches ·,"9,0",Australia,En familia
Great escape from the busy life to relax and unwind.,Habitación Doble Resort con cama grande,junio de 2025,Fecha del comentario: 27 de agosto de 2025,Sonia,Great location,Limited food options and no mini convenient store,4 noches ·,"8,0",Australia,En pareja
Fantástico,Habitación Resort con 2 camas individuales,agosto de 2025,Fecha del comentario: 27 de agosto de 2025,Rita,Have Everything you need for entertainment.,,2 noches ·,"9,0",Australia,En pareja
"Great escape, island amenities feel tired though.",Habitación Superior con vistas al mar - 2 camas,agosto de 2025,Fecha del comentario: 25 de agosto de 2025,Joelle,"We loved the inclusive activities, pools and ease of getting around the island.
Loved the animals! 
Good options for off island activities. 
Staff were helpful and friendly.
Great buffet breakfast including different milk selection and gluten free options.","The resort is tired. 
The rooms weren’t anything special and the bathroom needed a good deep clean. 
There were no pillow options, all cheap soft pillows. 
The dinner restaurants were very expensive. 
Our “ocean view” room was literally the ferry port for the island 😂
The cove for snorkeling needs some kind of walk out into the water that moves with the tides - my friend cut her friend on the coral and getting in and out of the water was difficult (it’s not sand - coral and rocks) 
The rainforest walk is not a walk. It’s a hike!",3 noches ·,"7,0",Australia,En grupo
Great destination to experience Whitsundays and relax,Habitación Superior con vistas al mar - 2 camas,agosto de 2025,Fecha del comentario: 25 de agosto de 2025,Michael,"This really is a dream destination. We had an ocean view room that had recently been renovated. Kangaroos and cockatoos right in front of our balcony. The restaurants on the island were good, especially the Asian themed restaurant. The tour desk was great at helping with transfers and activities (10/10 recommend the heli tour!).","One pool on the other end of the island was closed off, it seems there also used to be shops or restaurants there that aren’t in use anymore. But the main part of the island is beautifully setup and maintained.",4 noches ·,"9,0",Países Bajos,En familia
Would definetley come back for a visit. Such a relaxing happy vibe.,Habitación Doble Resort con cama grande,agosto de 2025,Fecha del comentario: 22 de agosto de 2025,Sharon,"Accessibility to everything. Resort style relax feel.
Staff super friendly and very accomodating.
Living reef was a plus and the staff genuinely engaged and care about the living reef.

Food was good, pools amazing. Awesome atmosphere.","The shower in our room.
Would great to see the south side of the island  brought back to life again.",2 noches ·,"9,0",Australia,En pareja
Bien,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,julio de 2025,Fecha del comentario: 18 de agosto de 2025,Lynn,"The restaurants were awesome.  Stunning menu,  flavours, and affordable. 
Lover's Cove is a lovely spot for a swim and snorkel.","We felt slightly off season in late July as some areas were not operating.  Although there were kayaks available, the area was too limited.",4 noches ·,"7,0",Nueva Zelanda,En pareja
Overall had a lovely time,Habitación Superior con vistas al mar - 2 camas,agosto de 2025,Fecha del comentario: 17 de agosto de 2025,Sarah,"Beautiful location, lovely staff, great activities","Not enough food options for lunch and dinner, very limited in this regard",4 noches ·,"7,0",Australia,En grupo
Beautiful island with a dirty resort - not recommended,Alojamiento Superior con cama extragrande y vistas al océano,agosto de 2025,Fecha del comentario: 17 de agosto de 2025,Edit,"The island is beautiful with an amazing wildlife. Pool area is nice however pools are not heated (cooler than the ocean), the whole facility looks nice from a distance. Breakfast was okay(ish), but barista coffee is only at the bars, not included in the breakfast. The entire resort has a huge potential to be a real 4-star resort but currently no maintenance, and lack of care. 
Staff are nice, but clearly no management directions are in place, the resort is running its own way.","The resort needs a massive deep clean. Everything is dirty and mouldy even the cups at the breakfast. 
Mattress is very soft and towels are very worn. Sofa in the room is stained and bathroom is filthy. Shower screen is covered by limescale, silicone part are mouldy, room floor is sticky. 

The breakfast area accommodates the dish cleaning facility which is a terrible thing to watch while you have breakfast. 
Restaurants: Salti is below average and expensive with small portions (ok, pizzas are ok), Infinity is nice and yumm. You must book a table for every night otherwise take away is the only option..
There’s a small shop in the main building, mainly for souvenirs but water, soft drink and snack are available, but limited choice. Expensive too. 
Pool bar: extremely dirty (filthy!), cocktails are served in plastic ‘glass’ which turned yellow - was about to ask the guy to give my cocktail in a takeaway coffee cup. 

The price reflects the 4-star hotel’s however the quality only enough for weak 3-star hotel… 

Next time -> no next time, or when it will be cleaned properly.",4 noches ·,"6,0",Australia,En pareja
Fabulous place to chill,Habitación Deluxe Ocean con terraza - Cama extragrande,agosto de 2025,Fecha del comentario: 14 de agosto de 2025,John,"Australians need to stake stock of what is in their own backyard and Daydream island is part of the glorious Whitsundays. A mere 2 hour flight to Hamilton island from Sydney and a 30 minute ferry ride lands you in paradise. Daydream was destroyed by cyclone Debbie in 2018. It has been rebuilt and refurbished. Our room an ocean view suite was very comfortable and the bed was great as were the products. There are a choice of very well priced restaurants and great beaches and pools. The island is a wildlife sanctuary with water birds, cockatoos and wallabies and kangaroos. The island is committed to restoration and preservation of the reef and has a great living lagoon which you can snorkel in at a reasonable fee. There are great excursions to Whitsunday island and famous Whitehaven beach with snorkelling trips to nearby reefs. Lovers Cove sunset drinks were great to watch the sunset and there was a great musician covering chilled tunes. Great place for both adults and kids and the staff were great special shout out to Evie and Jordan and Clorinda!",,4 noches ·,"9,0",Australia,En pareja
We loved being there. So beautiful. Definitely will think about coming again based on food options,Habitación Superior con vistas a la piscina - Cama extragrande,julio de 2025,Fecha del comentario: 11 de agosto de 2025,Ali,Breakfast was lovely and I’m grateful but was included in our price.,"We wanted one special dinner together to celebrate my birthday and my whole family felt totally overwhelmed at the price we paid at the restaurant. (We thought about the carvery buffet but that was even dearer for 6 people. 
It actually was the lowest point of our holiday. 
My kids wouldn’t even order a drink because they could see how much our meals would cost. 
$50+ for pasta
$60+ for steak 
My daughter only ordered an entree! She looked so hungry too. 
It made us all sad and uncomfortable. 
No smiles. No dessert. Still $250+
We pretty much dined on pizzas for tea after thAt. 
think the cost of buffet teas was extremely over priced. Not family friendly at all. 

An area to order pub meals would be GREAT!!!",3 noches ·,"7,0",Australia,En familia
Fantástico,Habitación Superior con vistas al mar - 2 camas,agosto de 2025,Fecha del comentario: 6 de agosto de 2025,Jo,"Beautiful and relaxing. Great for a stay or day visit. Great pool and snorkelling spots. Stunning sunsets at Lovers cove. Staff were very helpful and friendly. Thanks Grace (Front Desk)for being very welcoming, friendly and helpful. We enjoyed our time on Daydream I sland.",,3 noches ·,"9,0",Australia,En grupo
Bien,Habitación Superior con vistas a la piscina - Cama extragrande,agosto de 2025,Fecha del comentario: 2 de agosto de 2025,Sara,"Breakfast was great, also staff were friendly and helpful",The cleanliness of the room was very poor.,4 noches ·,"7,0",Australia,En pareja
Great weekend getaway.,Alojamiento Superior con cama extragrande y vistas al océano,julio de 2025,Fecha del comentario: 2 de agosto de 2025,Sander,Short ferry ride to the island. Greeted on arrival with a welcome drink. We arrived early and staff accommodated us with an early check-in. Our room had a beautiful view. Everything is accessible and in walking distance. Staff were lovely. Breakfast provided great options. We booked a couples massage - the therapists were wonderful. Meals were lovely at each restaurant. The meditation in the observation area was excellent. Lots of free activities to do. Beautiful place.,"The bathroom in the room needs a thorough clean. 
We booked a couples massage... It's hosted in one of the hotel rooms. Swapped out the bed for massage tables so the setting was disappointing. It felt very rushed, we didn't even get the opportunity to drink our arrival drinks. It was a lovely experience but honestly not for the price they charge. It's pricey for drinks. I also never noticed any recycling bins which surprised me being a place which embraces wildlife.",2 noches ·,"7,0",Australia,En pareja
Great destination for families with lots to do.,Superior Pool View King - Inclusive of Return Ferry Transfers,julio de 2025,Fecha del comentario: 31 de julio de 2025,Karen,Our family loved the living reef tour at the resort. We did the snorkel activity which was an incredible experience for my son and I who are both new to snorkeling. Our guide was very knowledgeable and kind.,"The room wasn’t cleaned very well with pretty obvious soap scum and residue from previous guests. It was also frustrating to have only 2 restaurants on the property that you can eat at, and most of the time they were all booked up. Side benefit is that you’ll probably shed a few pounds 😉",2 noches ·,"8,0",Canadá,En familia
Will go back anytime,Habitación Superior con vistas a la piscina - Cama extragrande,julio de 2025,Fecha del comentario: 31 de julio de 2025,Ankur,Great staff and very helpful. Wonderful location and good food.,Rooms were not cleaned everyday,4 noches ·,"9,0",Australia,En pareja
A nice stay,Deluxe Serenity Twin Room,julio de 2025,Fecha del comentario: 31 de julio de 2025,Monique,"The living reef, the food at breakky and Italian dinner was delicious, staff were so lovely and helpful, the beds were comfortable, live music was amazing! Location was great. I loved how when we checked out, the receptionist gave us our ferry ticket for return to the airport! Transit lounge welcome and drink were lovely too. Loved the free sting ray talk too!! I wanted to feed the rays but the price of $50 was steep. Loved the pool and bar!","No room service delivery, cleaners cloth left in bathroom, no bath mat, no hand towels, no refills of coffee, coffee mugs were dirty and gross in buffet, I had to rewash with hot water before using, tv wasn’t working in room, mould in shower. Furniture on the balcony was not was in pictures, I felt for the top dollar we spent on the nicer room, we didn’t get to standards.",2 noches ·,"7,0",Australia,En grupo
Muy bien,Habitación Superior con vistas al mar - 2 camas,julio de 2025,Fecha del comentario: 29 de julio de 2025,Sarah,"Lovely views from the room, loved walking around the island and exploring with the kids","The resort itself is a bit dated and food options are limited, but for short stays or if you bring some food over it’s still great",3 noches ·,"8,0",Australia,En familia
"Wonderful fun time for the kids and us, would highly recommend for young families. Breakfast was del",Superior Ocean View Twin - Inclusive of Return Ferry Transfers,julio de 2025,Fecha del comentario: 29 de julio de 2025,Katherine,The aquarium and bottom floor room near the pools and ocean was perfect for the kids. They loved seeing the sharks throughout the day and the sunrise each morning. Fantastic safe venue for toddlers.,Price of dinners.,7 noches ·,"9,0",Australia,En familia
Agradable,Habitación Superior con vistas al mar - 2 camas,julio de 2025,Fecha del comentario: 27 de julio de 2025,John,"The Living Reef was fantastic, the variety of swimming pools was great.","We booked an Ocean View room, which we got, however, it was also overlooking the ferry terminal, so we had lots of people and traffic in front of our room. Tew web-site described a multitude of restaurants, when in fact there were only two, and the morning buffet breakfast.",7 noches ·,"6,0",Australia,En pareja
Great destination for rest and relaxation.,Superior Pool Side Twin - Inclusive of Return Ferry Transfers,julio de 2025,Fecha del comentario: 26 de julio de 2025,Sitnikoski,Location and cleanliness,More options for food needed and after dinner events.,7 noches ·,"8,0",Australia,En familia
Overall it was a Fantastic place and so glad to have stayed there.,Alojamiento Superior con cama extragrande y vistas al océano,julio de 2025,Fecha del comentario: 23 de julio de 2025,Damien,"The actual Resort was a pleasure to walk around with the living reef.
Breakfast was excellent.
Location is very good.","Beds where very uncomfortable- they moved easily and matress very worn/over used.
Prices of food was too expensive.
Issues with booking dinners when Graze was not running as eateries cant cope with number of guests.
Graze needs to be open 7days.",6 noches ·,"8,0",Australia,En familia
Staying 2 days is enough time. After 2 days you will definitely run out of things to do.,Habitación Superior con vistas al mar - 2 camas,julio de 2025,Fecha del comentario: 22 de julio de 2025,Lerma,"The animals, the pools although is not heated",The place needs to update,2 noches ·,"7,0",Australia,En familia
An amazing paradise escape for the family,Habitación Resort con 2 camas individuales,julio de 2025,Fecha del comentario: 19 de julio de 2025,Tatiana,"What a dream holiday we had. It’s incredibly peaceful and picturesque place. Beautiful views, friendly staff, amazing breakfast buffet, lots of free activities and an amazing sunset with live music and drinks at the Lovers Cove. Thank you.",,2 noches ·,"8,0",Australia,En familia
Would go again just for Lovers Cove sunsets,Superior Ocean View Twin - Inclusive of Return Ferry Transfers,julio de 2025,Fecha del comentario: 18 de julio de 2025,Charmaine,"Beautiful location obviously, sparkling ocean water and amazing views. 
Lovers cove for Sunset is so beautiful! They have someone playing acoustic music while you sip on a drink or 2","Quite limited food options for lunch, especially if you have kids. Extremely limited options for snacks, they have 1 small resort shop with chips and ice blocks. (Obviously at a pretty expensive rate).",5 noches ·,"7,0",Australia,En familia
Perfect paradise!,Alojamiento Superior con cama extragrande y vistas al océano,julio de 2025,Fecha del comentario: 14 de julio de 2025,Jo,"Lovely spacious resort, nice sized rooms.
The walaroos were there to greet us as we arrived, my daughter nearly lost her mind!

The living reef was very cool and a great way to be close up to the sea life.

We stayed in a room overlooking the sea which was wonderful. 

Pools are a bit chilly but normal as it’s winter, I think the sea temperature was warmer.

We went out in the Kayaks which was fun! If you go snorkelling off Lovers cove, don’t try and get on any of the rocks as there are oyster shells embedded and they’ll slice your leg.

Food was good, I had no idea kids ate for free if there is an adult eating.

We loved our time there, we stayed for 3 nights, probably could have done another night but in any case, we’ll be back!",Don’t feed the cockatoos! When we arrived there were 6 of them on our balcony and they stole my bikini. Just keep your balcony door closed as they’ll happily come into your room!,3 noches ·,"9,0",Bélgica,En familia
"This place has potential, and was ok for a stopoff for a couple of days but we wouldnt return",Habitación Superior con vistas al mar - 2 camas,julio de 2025,Fecha del comentario: 14 de julio de 2025,Melinda,"Easy access to the island from from Airlie Port (although expensive for a family of five - around $400). Pool area was lovely, the view from the island are beautiful and the staff we engaged with were all brilliant.","Let down by the resort lacking a 'vibe', needing general maintenace, and lack of cleanliness in general.  Our shower was unhygenically mouldy and the glass was not clean, and the curtains and furniture was stained and dirty.  Also our 'ocean' view room was a ground floor room overlooking the volleyball court with ocean glimpses and didnt resemble the photos.  The breakfast was ok, we ate dinner in the asian restaurant Infinity, which is the better of the two based on reviews but the food was overpriced and lacking flavour (and our fried icecream came out frozen (i.e. not fried) after a very long wait).",2 noches ·,"7,0",Australia,En grupo
fun but needs some love,Habitación Resort con 2 camas individuales,julio de 2025,Fecha del comentario: 13 de julio de 2025,Kate,"Loved the location, the wonderful welcome, fantastic restaurants and selection. the pools were fantastic although didnt discover the hot pool until our last day. huge range of activities and loved lovers cove and the living reef, brilliant for kids and families, 4 days was perfect.","the rooms were damp and eroding from sea salt, cleaning could definitley be better -fingermarks all over the fridge, cupboards, bin not emptied in the bathroom, if everything was cleaned thoroughly every day they wouldn't get so bad. Lots of dusty areas, bird poo on our windows never cleaned, air con smelled damp, beds quite hard, definitley not sink into comfort. The shuuters etc in the restaurants should be taken down and cleaned, everything feel like it is done a bit on the cheap not long term. A real shame the other end of the island hasn't been fixed as it would be such an asset to have both ends to play/explore in.",4 noches ·,"9,0",Nueva Zelanda,En familia
Was a good short break,Habitación Superior con vistas a la piscina - Cama extragrande,julio de 2025,Fecha del comentario: 12 de julio de 2025,Joe-marie,"Ffriendly staff, great location",No evening activities,4 noches ·,"7,0",Australia,En familia
Agradable,Alojamiento Superior con cama extragrande y vistas al océano,julio de 2025,Fecha del comentario: 11 de julio de 2025,Francesco,It was ok. A lot of the hot food was cold at breakfast and at night time at the Italian night.,"Restaurants, pool areas.",2 noches ·,"6,0",Australia,En familia
Agradable,Habitación Doble Resort con cama grande,julio de 2025,Fecha del comentario: 11 de julio de 2025,Emily,Location and views,"Lack of choice of food 
Staff",3 noches ·,"6,0",Australia,En pareja
"Lovely few days, seems great for families.",Habitación Doble Resort con cama grande,julio de 2025,Fecha del comentario: 10 de julio de 2025,Julie,"Great getaway for a few days, lovely pool area for guests, gorgeous sunsets, day spa was a great experience, room was large, great incentive for ""being green"" with $ given if you did not need for your room to be serviced daily.","Food selection is limited and expensive.  Also, items on the menus were not available. Would love to have seen some more healthy options on the menu.",4 noches ·,"8,0",Australia,Persona que viaja sola
Loved staying there - a fabulous tropical retreat,Habitación Superior con vistas a la piscina - Cama extragrande,julio de 2025,Fecha del comentario: 9 de julio de 2025,Bonnie,"Staff were really friendly and helpful, room was clean and comfortable, beautiful location, great facilities",The food and drinks are quite expensive,3 noches ·,"9,0",Australia,En pareja
Muy bien,Habitación Resort con 2 camas individuales,julio de 2025,Fecha del comentario: 8 de julio de 2025,Clare,"The rooms were spacious & comfortable. The staff were friendly & helpful. Great facilities in a beautiful location, where wildlife roamed freely around the island.",The only complaint:- not a lot of food options for lunch.  Would also  like to see a convenience shop with  options to buy snacks such as cheese & crackers etc.,3 noches ·,"8,0",Australia,En pareja
Muy bien,Habitación Resort con 2 camas individuales,julio de 2025,Fecha del comentario: 5 de julio de 2025,Sarah,"Beautiful location, pools were amazing, food and beverage really good.",,2 noches ·,"8,0",Nueva Zelanda,En familia
"Most of the staff were amazing, happy to help and eager to make the evening of our stay memorable and enjoyable.",Habitación Deluxe Ocean con terraza - Cama extragrande,julio de 2025,Fecha del comentario: 3 de julio de 2025,Joel,Location and views are amazing. Rooms are well appointed and spacious with awesome sunrise views.,Our room had a slight musty smell when we arrived so may have been water damaged or hadn’t been used in some time. Once we aired it out for a day or so it improved.,4 noches ·,"7,0",Australia,En pareja
We enjoyed our return to Daydream but overall disappointed that it wasn’t kept to its full potential.,Resort Twin Accessible Room - Inclusive of Return Ferry Transfers,julio de 2025,Fecha del comentario: 3 de julio de 2025,Liz,"Great little island for a getaway. 
Enjoyed the island feel and relaxing by the pool. 
Playing tennis and watching the sunset.","The resort is looking sad and unkempt.  The South end is closed and very neglected. I had been before and this was a fantastic area to explore and enjoy, now it’s left to ruin.",3 noches ·,"7,0",Nueva Zelanda,En familia
Will definitely come back one day!,Habitación Doble Resort con cama grande,junio de 2025,Fecha del comentario: 3 de julio de 2025,Rachel,A Beautiful place. Loved the living reef!,Nothing.,1 noche ·,"9,0",Australia,En pareja
After being moved to the Vista Suite was a lot better .,Habitación Superior con vistas a la piscina - Cama extragrande,julio de 2025,Fecha del comentario: 2 de julio de 2025,Aaron,"Food was good in locations , bar staff at tonic amazing.","Floors very slippery, to much chemical not enough hot water . 
Pizzas need some work . 
Resort staff to meet helicopter on arrival . We had no one , no arrival drink nothing.",3 noches ·,"7,0",Australia,En pareja
Fantástico,Habitación Resort con 2 camas individuales,junio de 2025,Fecha del comentario: 27 de junio de 2025,Eiko,"large swimming pool. 
Buffet breakfast. 
Island walking ways.",All good.,1 noche ·,"9,0",Australia,En pareja
"a Pleasant place , a but run down. budget for pricy meals at the restuarants.",Habitación Superior con vistas al mar - 2 camas,junio de 2025,Fecha del comentario: 25 de junio de 2025,Andrew,"the breakfast was good value and well prepared although I found the bacon excessively salty for my taste. The take out options at salti were expensive. I liked the Burgers the calamari was delivered with broccoli and salad but no cutlery in the rooms or supplied. 
The restaurant meals were generally good but the pricing was quite steep . portions were good. I struggled with the excess wildlife downstairs. 
 the room was a good size but comfortable","there were a lot of minor issues in the room. 
the sliding doors to the balcony could barely slide as the runners were full of debris, the toilet paper hanger was loose and a power point was loose. 
 Unfortunately, I picked a week with windy weather that made the outdoor activities less appealing.",5 noches ·,"6,0",Australia,Persona que viaja sola
Wonderful memories,Habitación Resort con 2 camas individuales,junio de 2025,Fecha del comentario: 21 de junio de 2025,Seek,"Location is beautiful, need more cleaning and some of service outlets were closed",Need more cleansing,2 noches ·,"8,0",Australia,En grupo
Bien,Habitación Deluxe Ocean con terraza - Cama extragrande,junio de 2025,Fecha del comentario: 13 de junio de 2025,Sean,"We had a fantastic time on the Island. The pools, cocktails and food were very enjoyable. We had a deluxe ocean view room and the room was very tidy and comfortable and enjoyed the visits from the cockatoos. We loved the wildlife on the island including the interesting birds!",,5 noches ·,"7,0",Australia,En pareja
Beautiful island- need better food options and more to do otherwise the island gets boring,Habitación Doble Superior con vistas a la piscina - 2 camas,junio de 2025,Fecha del comentario: 12 de junio de 2025,Danielle,"Beautiful island, the rainforest walk has stunning views. It’s a nice place to relax in one spot 
The living reef centre and marine animals including the ray feeding show is really cool. The island has heaps of resident wallaroos who are super cute if you like animals. Great place for kids",Island can get boring- 6 nights was too long. The 2 available restaurants aren’t great and got sick of the food really fast. The one day we wanted our room clean they didn’t show up til 5:30 when we were showering and getting ready for dinner which we found a bit annoying. The pool is freezing during winter and the spa pool isn’t very warm- a heated pool or hot tub would be amazing,6 noches ·,"8,0",Australia,En pareja
Bien,Habitación Deluxe Ocean con terraza - Cama extragrande,junio de 2025,Fecha del comentario: 11 de junio de 2025,Tanmay,Lot of activities around the island for the young and the old,No chromecast or ability to access streaming platforms on TV,2 noches ·,"7,0",Australia,En pareja
"A lovely family holiday, that was relaxing & chilled!",Habitación Superior con vistas al mar - 2 camas,junio de 2025,Fecha del comentario: 10 de junio de 2025,Trudi,"Clean, easy to get to, great food & variety for a group!",I think kids playground & a putt-putt wld b great on Resort side. Movies on more than 2 nights would have been nice too!,3 noches ·,"9,0",Australia,En grupo
Nature aplenty,Habitación Resort con 2 camas individuales,junio de 2025,Fecha del comentario: 5 de junio de 2025,Sonia,Amazing island,,4 noches ·,"9,0",Australia,En pareja
Great amazing location and beaches. Needs to be more food options though,Habitación Deluxe Ocean con terraza - Cama extragrande,mayo de 2025,Fecha del comentario: 1 de junio de 2025,Melissa,Beautiful location and amazing views. The island water activities that were free were great. Beautiful rainforest walk and best beaches,"There was one staff member in particular who was very nice and polite named Julius. The rest of the staff weren’t very friendly and couldn’t communicate well.
Limited food options- only 2 restaurants to choose for lunch/dinner that were overpriced and the food was below average",4 noches ·,"7,0",Australia,En pareja
A nice stay but requires better management,Alojamiento Superior con cama extragrande y vistas al océano,mayo de 2025,Fecha del comentario: 30 de mayo de 2025,Kasia,"The island certainly has some magic to it. The reef sharks and observatory was my favourite. The surprise friendly kangeroos / wallabies (really not sure as there’s no staff really to tell you much) and cockatoos that visit the balcony was an added welcome we didn’t expect! The food at the Asian restaurant was very good, does break the bank a little but the quality was great. The restaurant staff (although they are all new and don’t know the menu) are all very nice. The reception staff were also nice. Watching fishies while eating breakfast was fun. The amenities in the room were great quality.","Sadly the activities staff put a downer on the whole trip, notably ‘lazy Ryan’ at the kayaks kiosk and a young man behind the tour desk near reception were particularly very poor at their jobs. We were quite surprised at their utter lack of professionalism and helpfulness, they just want to get in, get paid to do nothing and get out. The guy selling tours seems like he wants to do anything other than sell tours, the whole time he spoke to us each day we visited the desk in the hopes to spend our money on amazing trips he would not even stand up from his desk and kept his eyes glued to his screen hoping we would go away. He continued to tell us there were no tours available so we called one of them ourselves from the number on their brochure and booked with them directly instead - who were lovely and saddened their tours are not being sold! I can’t remember the same but it was a yellow RIB boat to go snorkeling & to Whitehaven - highly
Recommend. Ryan at the kayaks boasts a similar attitude lounging back on his chair picking at his nails while watching his female colleague drag heavy kayaks up on the beach herself, we got there at exactly 4:01pm and were told we could not grab a kayak, when asking him what time is last call he said 4pm… the times of the free activities advertised are 9:30-4pm, too late and too early for those like us embarking on any day trips. There’s not much to do if you’re early birds like us as nothing opens until 9:30am / 10am - breakfast only. Also - the $24 cocktails are sadly not worth it. We’d be happy to pay a high price if they were good but they are very basic and placed in blenders. While the Asian restaurant was great and we went there twice, you’d really be quite bored and broke over the food options on the island. I’d say better management and more food options are gravely needed, we went in low season and had to book in advance so I can’t imagine high season.",3 noches ·,"7,0",Australia,En pareja
A place to relax and enjoy time together,Habitación Doble Resort con cama grande,mayo de 2025,Fecha del comentario: 26 de mayo de 2025,Richard,Breakfast good location outstanding,Expensive,3 noches ·,"9,0",Reino Unido,En pareja
Bien,Superior Ocean View King - Inclusive of Return Ferry Transfers,mayo de 2025,Fecha del comentario: 25 de mayo de 2025,Lance,"Relaxed vibes, location",Price of alcohol,1 noche ·,"7,0",Australia,En pareja
Amazing  spot,Habitación Resort con 2 camas individuales,mayo de 2025,Fecha del comentario: 24 de mayo de 2025,Miguel,Location was fabulous very good for family or couple . Super clean rooms garden and facilities were great,Corridors were a bit messy dirty doors but nothing too bad,2 noches ·,"9,0",Australia,En familia
"A laid back, low key resort for the budget conscious with amazing staff in a beautiful part of the world",Habitación Doble Superior con vistas a la piscina - 2 camas,mayo de 2025,Fecha del comentario: 22 de mayo de 2025,Stuart,Staff were lovely went out of their way to look after guests. The living reef was great. The food was good quality and a decent range. The room was comfortable and clean. The setting is amazing.,Things were a bit run down but we knew that from the reviews before going. It must be hard to maintain a resort like this and it didn’t cause any problems for our stay.,9 noches ·,"7,0",Australia,En pareja
Definitely worth staying,Habitación Doble Resort con cama grande,abril de 2025,Fecha del comentario: 21 de mayo de 2025,Sandra,"The resort, the animals","A few things were a bit run down, but didn't bother us much. Safe didn't work and neither did TV initially. But we got a new room, when they couldn't fix it.",3 noches ·,"9,0",Australia,En pareja
